KMER SIZE: 49
TOTAL LENGTH OF GENOME ASSEMBLY: 33405
NUM CONTIG: 21
MAX CONTIG LENGTH: 6866
MEAN CONTIG LENGTH: 1590.7142857142858
MEAN COVERAGE DEPTH: 523.738573904762
N50:  4812
#Contig length	Number of contigs in this category
200	4
300	4
400	3
600	1
700	1
800	1
1200	1
2200	1
2900	1
4300	1
4800	1
6800	1
